epoch,acc,loss
0,0.0235555557534,13.2588285446
1,0.0379999997405,12.51158638
2,0.0419999998994,12.3583447138
3,0.0428888893065,12.3417813619
4,0.0364444452959,12.2929162979
5,0.0351111112162,12.264924113
6,0.0488888893276,12.2551390966
7,0.0491111115863,12.2337888082
8,0.0537777781487,12.2236103058
9,0.0517777783175,12.1923695882
10,0.0437777777513,13.1848286311
11,0.0317777779574,14.3525963465
12,0.0282222220674,12.7263982137
13,0.0457777785448,12.4240413666
14,0.0406666667511,12.3512413025
15,0.048222222055,12.4061964671
16,0.038222222651,12.3125788371
17,0.0473333342622,12.4125846863
18,0.036222222199,12.3126047134
19,0.0286666668641,12.9946212133
20,0.0448888892308,12.7326364517
21,0.048666667069,12.3374270757
22,0.049111112083,12.3072629929
23,0.0486666665723,12.2831550598
24,0.0491111115863,12.2553068161
25,0.0495555556069,12.2684598923
26,0.048666667069,12.255223465
27,0.0493333335966,12.245827802
28,0.0493333330999,12.2477455775
29,0.0502222221345,12.2812494278
30,0.0420000005203,12.2429926554
31,0.0493333335966,12.2464175542
32,0.0497777778655,12.239216423
33,0.0495555557311,12.220239385
34,0.0488888893276,12.2274492264
35,0.0484444446862,12.2198671977
36,0.0493333329757,12.2285154978
37,0.0484444446862,12.2214817047
38,0.0493333338449,12.2141079585
39,0.0484444450587,12.2278444926
40,0.0493333339691,12.201785024
41,0.0488888897002,12.202781868
42,0.048666667069,12.2036930084
43,0.0488888892035,12.2040143967
44,0.0399999997268,12.2048422496
45,0.0493333335966,12.1892321905
46,0.0464444450413,12.1987330755
47,0.0464444444204,12.1764567693
48,0.0495555557311,12.1603127797
49,0.0491111109654,12.1644533793
50,0.0497777778655,12.160254542
51,0.0486666669448,12.1667367935
52,0.0493333334724,12.1575838725
53,0.0422222221891,12.1548822403
54,0.0428888885925,12.1557561239
55,0.0495555558552,12.1336492538
56,0.0448888882995,12.1191886266
57,0.0471111118793,12.1236660004
58,0.0497777778655,12.1121482849
59,0.0502222223828,12.1335549672
60,0.0419999995579,12.1025859197
61,0.0446666672826,12.1235045751
62,0.0513333335519,12.1134263992
63,0.0482222224275,12.0926654816
64,0.0362222229441,12.1629230499
65,0.0480000000447,12.0831559499
66,0.0422222224375,12.0847494761
67,0.0499999998758,12.0678834279
68,0.0448888890445,12.0723928452
69,0.0426666672031,12.0831967036
70,0.0455555564413,12.0788342794
71,0.038000000144,12.0759945552
72,0.0482222226759,12.0643128713
73,0.0511111112311,12.0639613469
74,0.0495555561657,12.0391417185
75,0.0511111116658,12.0579702377
76,0.0466666665549,12.0364596049
77,0.0446666667859,12.0447171529
78,0.0522222226486,12.0533831278
79,0.050666666838,12.0240650813
80,0.0528888893003,12.0089823405
81,0.0546666675558,12.0240909576
82,0.0502222216999,12.0096483866
83,0.0528888896108,12.0040815989
84,0.044666666848,12.0001387278
85,0.0437777778755,12.0272727966
86,0.0537777780245,12.0107830683
87,0.0448888891066,12.0253686905
88,0.0526666671659,11.9824074427
89,0.0500000000931,11.9842507044
90,0.0522222221829,11.9995842616
91,0.0519999995828,11.998925972
92,0.0528888888036,11.9790429433
93,0.0524444450624,11.9809771856
94,0.0511111109207,11.9816589991
95,0.0535555550829,11.9524305979
96,0.0540000002831,11.9491549174
97,0.0548888886968,11.940666453
98,0.0491111114621,11.9379099528
99,0.0528888896108,11.9180557887
100,0.0542222222934,11.9209601084
101,0.0542222228522,11.9209782918
102,0.0491111110585,11.9275996526
103,0.052000000452,11.9174314499
104,0.0533333330105,11.9140281677
105,0.0504444446415,11.8869240443
106,0.0502222228795,11.9147813161
107,0.0488888888309,11.901293691
108,0.0560000006109,11.8837746938
109,0.0546666666865,11.8721312205
110,0.0559999994934,11.8779216766
111,0.0544444444279,11.8772525787
112,0.0575555558006,11.8659864426
